lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,1.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5576072716597661,310.0,292.0,270.0,256.0,243.0,215.0,194.0,159.0,114.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6554796778754314,86.0,58.0,48.0,39.0,33.0,29.0,29.0,31.0,34.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.48338379027091244,334.0,332.0,331.0,330.0,327.0,325.0,320.0,316.0,301.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.53167759503003,334.0,332.0,331.0,329.0,325.0,325.0,322.0,322.0,309.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5047646920932758,334.0,333.0,332.0,329.0,329.0,326.0,324.0,319.0,305.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.485376306772374,327.0,320.0,313.0,302.0,293.0,285.0,268.0,250.0,214.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6809183581494158,139.0,97.0,67.0,57.0,49.0,45.0,37.0,31.0,30.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5657899305574715,327.0,315.0,309.0,297.0,281.0,266.0,258.0,231.0,194.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6346498856191332,130.0,88.0,73.0,56.0,45.0,42.0,33.0,30.0,28.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5830892181834084,49.0,45.0,35.0,34.0,32.0,35.0,37.0,39.0,45.0,False,False,False,False,False,False,False,False,True
0.01,0.01,50.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5865788940034182,48.0,40.0,40.0,33.0,33.0,34.0,36.0,41.0,43.0,False,False,False,False,False,False,False,True,True
0.01,0.01,5.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6520247298342698,147.0,91.0,69.0,62.0,50.0,46.0,36.0,32.0,24.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5811767933378991,52.0,45.0,36.0,35.0,33.0,37.0,38.0,37.0,42.0,False,False,False,False,False,False,False,False,True
0.01,0.01,0.1,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.4430176390307875,333.0,332.0,332.0,330.0,327.0,325.0,323.0,317.0,310.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6028659539425608,52.0,43.0,39.0,33.0,31.0,34.0,38.0,38.0,43.0,False,False,False,False,False,False,False,False,True
0.01,0.01,5.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6527124511172854,149.0,101.0,76.0,61.0,50.0,46.0,40.0,31.0,28.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6771013779105303,157.0,105.0,79.0,67.0,52.0,47.0,37.0,32.0,28.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5996488225556534,52.0,46.0,37.0,37.0,36.0,33.0,36.0,40.0,42.0,False,False,False,False,False,False,False,True,True
0.01,0.01,100.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5543379032544629,50.0,41.0,35.0,36.0,34.0,35.0,39.0,42.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,1.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6485944638295866,309.0,287.0,277.0,261.0,243.0,222.0,193.0,158.0,107.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.4409601849214946,335.0,333.0,332.0,330.0,327.0,325.0,325.0,322.0,308.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.4202621347236155,333.0,332.0,332.0,329.0,326.0,325.0,325.0,319.0,311.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6353466033796198,47.0,43.0,33.0,33.0,31.0,31.0,34.0,38.0,41.0,False,False,False,False,False,False,False,False,True
0.01,0.01,0.1,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.515383540027949,334.0,333.0,333.0,331.0,328.0,326.0,324.0,319.0,309.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6504282930469133,122.0,86.0,68.0,52.0,48.0,41.0,33.0,28.0,22.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5656286274314615,48.0,39.0,35.0,34.0,37.0,36.0,37.0,40.0,44.0,False,False,False,False,False,False,False,True,True
0.01,0.01,100.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5469626928626558,46.0,42.0,35.0,35.0,36.0,37.0,39.0,43.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,1.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5595151522721716,311.0,285.0,267.0,243.0,225.0,203.0,181.0,149.0,103.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.3853545283458386,328.0,318.0,311.0,301.0,291.0,275.0,256.0,226.0,194.0,False,False,False,False,False,False,False,False,False
0.01,0.01,1.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5889598385319584,316.0,293.0,277.0,263.0,248.0,222.0,199.0,162.0,117.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5054721254598344,327.0,316.0,309.0,298.0,291.0,280.0,265.0,245.0,217.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6932229482750476,81.0,61.0,47.0,42.0,34.0,29.0,26.0,30.0,31.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6562749357238092,77.0,55.0,46.0,37.0,32.0,31.0,28.0,28.0,36.0,False,False,False,False,False,False,False,False,False
0.01,0.01,1.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5410231214112037,310.0,293.0,274.0,261.0,243.0,224.0,205.0,175.0,124.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.41980440773539374,325.0,316.0,306.0,299.0,292.0,279.0,264.0,243.0,207.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6759727792505377,85.0,63.0,46.0,41.0,33.0,26.0,26.0,26.0,37.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5013483056678867,325.0,318.0,309.0,302.0,293.0,286.0,268.0,248.0,221.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.44990221698595456,325.0,313.0,308.0,297.0,286.0,280.0,261.0,242.0,209.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6089509841598967,51.0,43.0,35.0,34.0,31.0,34.0,35.0,38.0,43.0,False,False,False,False,False,False,False,False,True
0.01,0.01,5.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6373950094919147,130.0,91.0,69.0,55.0,49.0,38.0,34.0,29.0,31.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5655175147522413,48.0,44.0,35.0,34.0,36.0,35.0,37.0,42.0,43.0,False,False,False,False,False,False,False,True,True
0.01,0.01,10.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6743576895515776,71.0,51.0,45.0,35.0,30.0,24.0,28.0,25.0,38.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6863301392316385,85.0,58.0,48.0,36.0,30.0,26.0,25.0,30.0,35.0,False,False,False,False,False,False,False,False,True
0.01,0.01,1.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5956484542879305,309.0,283.0,269.0,255.0,240.0,220.0,199.0,166.0,118.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5382332996576626,49.0,41.0,36.0,36.0,35.0,36.0,39.0,44.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,100.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5442236731869419,52.0,40.0,36.0,33.0,35.0,38.0,39.0,42.0,44.0,False,False,False,False,False,False,False,True,True
0.01,0.01,1.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5855425413916678,308.0,285.0,264.0,246.0,227.0,202.0,182.0,151.0,101.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.535256007306893,47.0,42.0,38.0,36.0,36.0,37.0,43.0,44.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,10.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6690534994043275,84.0,62.0,47.0,38.0,34.0,29.0,26.0,29.0,34.0,False,False,False,False,False,False,False,False,False
